t,HMF,DFF,HMFCA,FFCA,FDCA
0,4881.128355,2.386160654,0.0,0.0,0.0
1,4750.228931000001,35.94767333,10.31139268,6.692568972999999,0.142030201
2,4587.674940250001,61.33711277250001,19.938884715,16.12277022975,0.24801454125
3,4425.1209495,86.726552215,29.56637675,25.5529714865,0.35399888150000003
4,4262.56695875,112.1159916575,39.193868785,34.983172743249995,0.45998322174999995
5,4100.012968,137.5054311,48.82136082,44.413374,0.565967562
6,3914.582418,155.27539219999997,53.76663445,37.13200702,0.82060962
7,3766.7579090000004,173.5765858,61.59579799,45.11377605,0.881319911
8,3618.241981,185.6885879,67.57002756,51.24860206,0.9330257270000001
9,3403.8197189999996,195.4017701,74.35187372,60.19037386,1.087080537
10,3259.4723710000003,203.4870323,79.96206020000001,67.54773788,1.203215884
11,3084.9145120000003,206.229127,84.14843051,73.71019918,1.3565436240000002
12,2937.078852,211.19082740000002,88.76094348,80.44627755,1.7157718119999998
13,2762.2493870000003,203.6343302,93.69279502,86.36034475,1.965268456
14,2594.4569260000003,216.87182510000002,96.41307849,93.47791025,2.163255034
15,2450.095785,202.18913769999997,99.45488385,99.26158787,2.397706935
25,1286.7846522727273,135.50685015454548,100.16594589545454,129.3547698063636,4.551357534999999
27,1134.455019,127.61969960000002,99.843936755,132.61839157499998,4.9142128075
29,1062.457979,125.181856,99.057706065,133.12699872500002,5.2091932325
31,890.1566313,109.77220064,94.793800785,133.2425713,5.9987416105
33,697.5382148,89.458562425,88.65643008,133.38809555,6.919295302
49,190.71767537500006,23.97721101375,46.492394144375,95.133969621875,10.546626817375
51,146.89731835,18.147418535,41.621478935,88.677699985,10.93403244
53,125.48433415,19.710111304999998,37.49425534,85.92267434,11.161465325
55,105.234313505,16.914496444999997,33.402018685,79.390775915,11.259577740000001
57,88.18196085000001,10.158428319799999,30.133641150000003,69.955335272,11.426213648000001
59,79.32471573000001,9.108032719399999,27.949081930000002,66.412287996,11.689826624
61,70.46747061,8.057637118999999,25.76452271,62.86924072,11.9534396
63,60.69303341666667,6.966689016999999,21.339907176666667,55.468698493333335,10.733603653333333
65,55.80581482,6.421214966,19.12759941,51.76842738,10.12368568
